Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Strokes,[],Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pool Swimming,2022-07-26 06:04:11,false,"Pool Swimming","1,000","240","00:26:00","149","172","3.6","0","0","2:25","1:53","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","612","103","25","0","0:00","0.0","0:00","No","00:05.89","4","0.0","00:24:06","00:26:08","--","--"
Pool Swimming,2022-07-22 06:05:11,false,"Pool Swimming","750","178","00:22:31","141","161","3.1","0","0","2:38","1:52","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","492","112","25","0","0:00","0.0","0:00","No","01:04.61","4","0.0","00:19:44","00:22:37","--","--"
Pool Swimming,2022-07-20 06:04:41,false,"Pool Swimming","1,000","239","00:25:11","155","180","3.9","0","0","2:21","1:54","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","612","101","26","0","0:00","0.0","0:00","No","00:04.91.4","4","0.0","00:23:35","00:25:17","--","--"
Pool Swimming,2022-07-17 09:07:32,false,"Pool Swimming","700","168","00:20:06","148","168","3.2","0","0","2:19","1:47","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","420","100","26","0","0:00","0.0","0:00","No","00:26.31.8","6","0.0","00:16:13","00:20:12","--","--"
Pool Swimming,2022-07-15 06:05:06,false,"Pool Swimming","800","192","00:21:40","144","171","3.1","0","0","2:24","1:57","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","485","102","25","0","0:00","0.0","0:00","No","02:27.13.6","3","0.0","00:19:13","00:21:47","--","--"
Pool Swimming,2022-07-13 06:04:08,false,"Pool Swimming","1,000","240","00:27:54","149","166","3.6","0","0","2:22","1:52","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","604","101","25","0","0:00","0.0","0:00","No","01:07.83.6","7","0.0","00:23:43","00:28:00","--","--"
Pool Swimming,2022-07-09 08:56:55,false,"Pool Swimming","800","192","00:24:48","143","169","3.2","0","0","2:20","1:51","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","462","99","25","0","0:00","0.0","0:00","No","00:08.26","8","0.0","00:18:42","00:24:53","--","--"
Pool Swimming,2022-07-07 15:55:54,false,"Pool Swimming","1,050","252","00:29:03","141","165","3.2","0","0","2:20","1:08","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","614","99","25","0","0:00","0.0","0:00","No","00:08.51.3","8","0.0","00:24:35","00:29:09","--","--"
Pool Swimming,2022-06-30 14:40:51,false,"Pool Swimming","1,400","336","00:41:08","146","164","3.7","0","0","2:28","1:50","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","857","105","25","0","0:00","0.0","0:00","No","00:15.62.8","8","0.0","00:34:38","00:41:14","--","--"
Pool Swimming,2022-06-26 08:50:41,false,"Pool Swimming","1,000","240","00:27:33","148","169","3.5","0","0","2:25","1:54","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","608","103","25","0","0:00","0.0","0:00","No","00:12.14.7","6","0.0","00:24:05","00:28:39","--","--"
Pool Swimming,2022-06-21 06:04:33,false,"Pool Swimming","1,000","239","00:26:33","152","168","3.5","0","0","2:26","1:58","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","622","104","26","0","0:00","0.0","0:00","No","00:05.15.5","4","0.0","00:24:22","00:26:39","--","--"
Pool Swimming,2022-06-19 09:57:28,false,"Pool Swimming","1,250","301","00:35:20","147","166","3.5","0","0","2:15","0:27","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","725","96","26","0","0:00","0.0","0:00","No","00:07.74.5","8","0.0","00:28:03","00:35:26","--","--"
Pool Swimming,2022-06-17 09:23:31,false,"Pool Swimming","900","216","00:25:00","147","175","3.4","0","0","2:20","1:50","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","541","100","26","0","0:00","0.0","0:00","No","00:10.75.5","6","0.0","00:21:03","00:25:05","--","--"
Pool Swimming,2022-06-14 06:05:04,false,"Pool Swimming","800","192","00:21:39","151","164","3.4","0","0","2:26","2:02","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","489","104","25","0","0:00","0.0","0:00","No","00:08.13","4","0.0","00:19:32","00:21:47","--","--"
Pool Swimming,2022-06-10 09:09:24,false,"Pool Swimming","1,000","240","00:28:03","150","174","3.5","0","0","2:19","1:56","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","605","100","26","0","0:00","0.0","0:00","No","00:33.70.1","6","0.0","00:23:15","00:28:10","--","--"
Pool Swimming,2022-06-06 06:05:38,false,"Pool Swimming","800","192","00:22:30","149","178","3.2","0","0","2:18","1:55","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","473","99","26","0","0:00","0.0","0:00","No","00:07.02.4","6","0.0","00:18:26","00:22:38","--","--"
Pool Swimming,2022-05-30 06:05:47,false,"Pool Swimming","650","155","00:19:48","148","182","3.0","0","0","2:27","1:50","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","404","105","25","0","0:00","0.0","0:00","No","00:06.40.7","6","0.0","00:15:57","00:19:56","--","--"
Pool Swimming,2022-05-27 09:12:02,false,"Pool Swimming","1,050","253","00:27:40","145","178","3.2","0","0","2:13","0:25","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","597","95","26","0","0:00","0.0","0:00","No","00:04.96.7","6","0.0","00:23:15","00:27:47","--","--"
Pool Swimming,2022-05-23 06:05:09,false,"Pool Swimming","600","144","00:17:02","152","171","3.0","0","0","2:18","1:49","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","356","98","26","0","0:00","0.0","0:00","No","00:10.81","6","0.0","00:13:45","00:17:14","--","--"
